ID,Name,Description,Actual Score,Target Score,categories,subcategories
GV,GOVERN,"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",2.741935483870969,5,"Organizational Context (categories/Organizational%20Context%20364de7cda7a781239ba4fc2ce34f6010.csv), Oversight (categories/Oversight%20364de7cda7a781ae9b50eb650cdcee71.csv), Policy (categories/Policy%20364de7cda7a781a2975dfd230c6c2cf1.csv), Risk Management Strategy (categories/Risk%20Management%20Strategy%20364de7cda7a781f2ab1cc089348de66e.csv), Roles, Responsibilities, and Authorities (categories/Roles,%20Responsibilities,%20and%20Authorities%20364de7cda7a78170805ce5e3b6d54f15.csv), Cybersecurity Supply Chain Risk Management (categories/Cybersecurity%20Supply%20Chain%20Risk%20Management%20364de7cda7a78147a3b3f127edf5d1b7.csv)","GV.OC-01 (subcategories/GV%20OC-01%20364de7cda7a7817a9336d5ddc9d001ad.csv), GV.OC-02 (subcategories/GV%20OC-02%20364de7cda7a781da9e27d07b05768a8f.csv), GV.OC-03 (subcategories/GV%20OC-03%20364de7cda7a7815382a7f6076c7e6983.csv), GV.OC-04 (subcategories/GV%20OC-04%20364de7cda7a781b2bc4ff7e095cc53e5.csv), GV.OC-05 (subcategories/GV%20OC-05%20364de7cda7a781fd8cf7d492216bbd48.csv), GV.RM-01 (subcategories/GV%20RM-01%20364de7cda7a781f19169e7817fb831ed.csv), GV.RM-02 (subcategories/GV%20RM-02%20364de7cda7a781129fdbd16550a36428.csv), GV.RM-03 (subcategories/GV%20RM-03%20364de7cda7a781b0932dcc2f146088e5.csv), GV.RM-04 (subcategories/GV%20RM-04%20364de7cda7a7819da073e2594bba21f0.csv), GV.RM-05 (subcategories/GV%20RM-05%20364de7cda7a781feaadbe348a0c20bac.csv), GV.RM-06 (subcategories/GV%20RM-06%20364de7cda7a781d290eff6f35089af2a.csv), GV.RM-07 (subcategories/GV%20RM-07%20364de7cda7a781ff8049c7bd76a00958.csv), GV.RR-01 (subcategories/GV%20RR-01%20364de7cda7a7819d823bcec996ebbbb3.csv), GV.RR-02 (subcategories/GV%20RR-02%20364de7cda7a78123963cfbec94b452ee.csv), GV.RR-03 (subcategories/GV%20RR-03%20364de7cda7a781adabc1d25427976b95.csv), GV.RR-04 (subcategories/GV%20RR-04%20364de7cda7a781369897ca56e20c83c7.csv), GV.PO-01 (subcategories/GV%20PO-01%20364de7cda7a781c99d64d7265f8d43d6.csv), GV.PO-02 (subcategories/GV%20PO-02%20364de7cda7a781ebb8add99a82ff7755.csv), GV.OV-01 (subcategories/GV%20OV-01%20364de7cda7a781399e81c65025797707.csv), GV.OV-02 (subcategories/GV%20OV-02%20364de7cda7a7812ba568dc20cd13516b.csv), GV.OV-03 (subcategories/GV%20OV-03%20364de7cda7a781449f32d10f5f4cc29b.csv), GV.SC-01 (subcategories/GV%20SC-01%20364de7cda7a781c4a7e5dabeb8ec02b2.csv), GV.SC-02 (subcategories/GV%20SC-02%20364de7cda7a78106ba18e0a73f19cd93.csv), GV.SC-03 (subcategories/GV%20SC-03%20364de7cda7a781f3a4e7d1c9e7f58c0c.csv), GV.SC-04 (subcategories/GV%20SC-04%20364de7cda7a78193b180f263dea0fe9e.csv), GV.SC-05 (subcategories/GV%20SC-05%20364de7cda7a7819ea6a0d90cbefbc97a.csv), GV.SC-06 (subcategories/GV%20SC-06%20364de7cda7a7818da858f7a2f85b6a43.csv), GV.SC-07 (subcategories/GV%20SC-07%20364de7cda7a7812487ade3d527666a29.csv), GV.SC-08 (subcategories/GV%20SC-08%20364de7cda7a7819d9a13e68636364fd1.csv), GV.SC-09 (subcategories/GV%20SC-09%20364de7cda7a78115980fcafa0f1db775.csv), GV.SC-10 (subcategories/GV%20SC-10%20364de7cda7a7817995ffe0b0a55ab6f0.csv)"
ID,IDENTIFY,The organization's current cybersecurity risks are understood,2.819047619047619,5,"Asset Management (categories/Asset%20Management%20364de7cda7a781c4baace798e4555292.csv), Improvement (categories/Improvement%20364de7cda7a781048e95c95221a71433.csv), Risk Assessment (categories/Risk%20Assessment%20364de7cda7a7813f999ff2f87c9ac770.csv)","ID.AM-01 (subcategories/ID%20AM-01%20364de7cda7a781c38b0cdbbc21b59026.csv), ID.AM-02 (subcategories/ID%20AM-02%20364de7cda7a781039f98e62ff832605f.csv), ID.AM-03 (subcategories/ID%20AM-03%20364de7cda7a78144a3f0da7faf2fee5f.csv), ID.AM-04 (subcategories/ID%20AM-04%20364de7cda7a7812bad5fe1ef3c757918.csv), ID.AM-05 (subcategories/ID%20AM-05%20364de7cda7a7819399abce642145a268.csv), ID.AM-07 (subcategories/ID%20AM-07%20364de7cda7a781fb8518da35bb7f7e50.csv), ID.AM-08 (subcategories/ID%20AM-08%20364de7cda7a781bd99aaeac08c2ff5c5.csv), ID.RA-01 (subcategories/ID%20RA-01%20364de7cda7a7810ba907cdc5fd2d71e5.csv), ID.RA-02 (subcategories/ID%20RA-02%20364de7cda7a7813e9375da19d75ec22f.csv), ID.RA-03 (subcategories/ID%20RA-03%20364de7cda7a781689c60e71243903059.csv), ID.RA-04 (subcategories/ID%20RA-04%20364de7cda7a78132adf8d14cd36d3416.csv), ID.RA-05 (subcategories/ID%20RA-05%20364de7cda7a7810d898adfc0eb6d3157.csv), ID.RA-06 (subcategories/ID%20RA-06%20364de7cda7a781a383c2f739538d9e6c.csv), ID.RA-07 (subcategories/ID%20RA-07%20364de7cda7a781bcb304d5d52bfa511e.csv), ID.RA-08 (subcategories/ID%20RA-08%20364de7cda7a781949fd4daf501a8badc.csv), ID.RA-09 (subcategories/ID%20RA-09%20364de7cda7a781a4ba85ef65e014589b.csv), ID.RA-10 (subcategories/ID%20RA-10%20364de7cda7a781bea852ec1703643aa1.csv), ID.IM-01 (subcategories/ID%20IM-01%20364de7cda7a781339204e2ac5b54c13c.csv), ID.IM-02 (subcategories/ID%20IM-02%20364de7cda7a781599e68fbb56a493cd1.csv), ID.IM-03 (subcategories/ID%20IM-03%20364de7cda7a781158ccde8ff6c66a02b.csv), ID.IM-04 (subcategories/ID%20IM-04%20364de7cda7a781c9876ac15fd73717f0.csv)"
PR,PROTECT,Safeguards to manage the organization's cybersecurity risks are used,3.109090909090909,5,"Identity Management, Authentication, and Access Control (categories/Identity%20Management,%20Authentication,%20and%20Access%20Co%20364de7cda7a781d7901adae8206f8bc3.csv), Awareness and Training (categories/Awareness%20and%20Training%20364de7cda7a7810a8f2de142bfe9bd9c.csv), Data Security (categories/Data%20Security%20364de7cda7a781f79a23d865907806b0.csv), Technology Infrastructure Resilience (categories/Technology%20Infrastructure%20Resilience%20364de7cda7a78124ba9dfc8e44e4479d.csv), Platform Security (categories/Platform%20Security%20364de7cda7a781a0a42de529706b109b.csv)","PR.AA-01 (subcategories/PR%20AA-01%20364de7cda7a7819b9503df9478ea1b1d.csv), PR.AA-02 (subcategories/PR%20AA-02%20364de7cda7a7817c928eed439e46e616.csv), PR.AA-03 (subcategories/PR%20AA-03%20364de7cda7a781bb9bf5ce907d8dbf33.csv), PR.AA-04 (subcategories/PR%20AA-04%20364de7cda7a7817482dce90f06616f35.csv), PR.AA-05 (subcategories/PR%20AA-05%20364de7cda7a78132876cf8fbe7a35ab1.csv), PR.AA-06 (subcategories/PR%20AA-06%20364de7cda7a78149b762d2f7156f8f5d.csv), PR.AT-01 (subcategories/PR%20AT-01%20364de7cda7a781eca2acc212f33e5d20.csv), PR.AT-02 (subcategories/PR%20AT-02%20364de7cda7a781d99fa0c7d1b051862d.csv), PR.DS-01 (subcategories/PR%20DS-01%20364de7cda7a781619355f3f0ceba05f1.csv), PR.DS-02 (subcategories/PR%20DS-02%20364de7cda7a781b7826eebc04f12ebcc.csv), PR.DS-10 (subcategories/PR%20DS-10%20364de7cda7a78151b026e927029ebccf.csv), PR.DS-11 (subcategories/PR%20DS-11%20364de7cda7a781a19bf6ee0e19c20556.csv), PR.PS-01 (subcategories/PR%20PS-01%20364de7cda7a781a3a72efbe0432b0913.csv), PR.PS-02 (subcategories/PR%20PS-02%20364de7cda7a7819ab160d68819304407.csv), PR.PS-03 (subcategories/PR%20PS-03%20364de7cda7a7812b9b33c27cebbc9456.csv), PR.PS-04 (subcategories/PR%20PS-04%20364de7cda7a78114a980c5cfc872a978.csv), PR.PS-05 (subcategories/PR%20PS-05%20364de7cda7a781eda147db6aa29b423f.csv), PR.PS-06 (subcategories/PR%20PS-06%20364de7cda7a781c1ac5fe263b075d268.csv), PR.IR-01 (subcategories/PR%20IR-01%20364de7cda7a781e19b84c2d9d274cc93.csv), PR.IR-02 (subcategories/PR%20IR-02%20364de7cda7a781cd871ce9e60d313198.csv), PR.IR-03 (subcategories/PR%20IR-03%20364de7cda7a7819495abd64d444254fe.csv), PR.IR-04 (subcategories/PR%20IR-04%20364de7cda7a78196898ae105d2363ea3.csv)"
DE,DETECT,Possible cybersecurity attacks and compromises are found and analyzed,3.0545454545454547,5,"Continuous Monitoring (categories/Continuous%20Monitoring%20364de7cda7a781d1af04d98b7bcb64e2.csv), Adverse Event Analysis (categories/Adverse%20Event%20Analysis%20364de7cda7a78105b941c282bec14938.csv)","DE.AE-02 (subcategories/DE%20AE-02%20364de7cda7a78150b0accb07add5662f.csv), DE.AE-03 (subcategories/DE%20AE-03%20364de7cda7a781809cc1ed7c0206539f.csv), DE.AE-04 (subcategories/DE%20AE-04%20364de7cda7a781f9a662d09676ecda2b.csv), DE.AE-06 (subcategories/DE%20AE-06%20364de7cda7a781fcaaa3e1fabac4919b.csv), DE.AE-07 (subcategories/DE%20AE-07%20364de7cda7a781f48f39ef072e22539a.csv), DE.AE-08 (subcategories/DE%20AE-08%20364de7cda7a781628e9ec279a0e8b4c3.csv), DE.CM-01 (subcategories/DE%20CM-01%20364de7cda7a78156ae77f5104ecff7ee.csv), DE.CM-02 (subcategories/DE%20CM-02%20364de7cda7a7813e9d05fa5001c932a9.csv), DE.CM-03 (subcategories/DE%20CM-03%20364de7cda7a781fcbef3c08f8c5b0b4b.csv), DE.CM-06 (subcategories/DE%20CM-06%20364de7cda7a781eb88eae119aaafbf1a.csv), DE.CM-09 (subcategories/DE%20CM-09%20364de7cda7a781449ef0d3c25847a673.csv)"
RS,RESPOND,Actions regarding a detected cybersecurity incident are taken,2.7846153846153845,5,"Incident Analysis (categories/Incident%20Analysis%20364de7cda7a781eabc57fb39240c6f13.csv), Incident Response Reporting and Communication (categories/Incident%20Response%20Reporting%20and%20Communication%20364de7cda7a781f394f6cb1dcefcfb9e.csv), Incident Management (categories/Incident%20Management%20364de7cda7a781208d7cfc2ac0615979.csv), Incident Mitigation (categories/Incident%20Mitigation%20364de7cda7a7819cb8aee66e7cf1a340.csv)","RS.MA-01 (subcategories/RS%20MA-01%20364de7cda7a78149a394dd4f9cf9ab50.csv), RS.MA-02 (subcategories/RS%20MA-02%20364de7cda7a7811f9055fcbe73ab7a8f.csv), RS.MA-03 (subcategories/RS%20MA-03%20364de7cda7a781bebdf0cf69da9c4c85.csv), RS.MA-04 (subcategories/RS%20MA-04%20364de7cda7a7818c9b89eaa3b257063d.csv), RS.MA-05 (subcategories/RS%20MA-05%20364de7cda7a781a3bb92cbbe59389014.csv), RS.AN-03 (subcategories/RS%20AN-03%20364de7cda7a781f695b5fb5684e95ba4.csv), RS.AN-06 (subcategories/RS%20AN-06%20364de7cda7a78167b44af96812056df5.csv), RS.AN-07 (subcategories/RS%20AN-07%20364de7cda7a781ea94b4f5fe09261f6a.csv), RS.AN-08 (subcategories/RS%20AN-08%20364de7cda7a781cf859ae8680b46b205.csv), RS.CO-02 (subcategories/RS%20CO-02%20364de7cda7a7813f8a60c11785d693f7.csv), RS.CO-03 (subcategories/RS%20CO-03%20364de7cda7a78193bc93fe5727f71f01.csv), RS.MI-01 (subcategories/RS%20MI-01%20364de7cda7a7815996abe48dcefd473e.csv), RS.MI-02 (subcategories/RS%20MI-02%20364de7cda7a781b79875fa0ebb114f89.csv)"
RC,RECOVER,Assets and operations affected by a cybersecurity incident are restored,3.337500000000001,5,"Incident Recovery Communication (categories/Incident%20Recovery%20Communication%20364de7cda7a781ff990df03e444383b8.csv), Incident Recovery Plan Execution (categories/Incident%20Recovery%20Plan%20Execution%20364de7cda7a7819bb3bed05baa2f48a8.csv)","RC.RP-01 (subcategories/RC%20RP-01%20364de7cda7a781689fe4e851ca8b8114.csv), RC.RP-02 (subcategories/RC%20RP-02%20364de7cda7a78180b1e9e7216ce51c7f.csv), RC.RP-03 (subcategories/RC%20RP-03%20364de7cda7a7815f8fd6c502b39be055.csv), RC.RP-04 (subcategories/RC%20RP-04%20364de7cda7a7817d9769e731093a66e3.csv), RC.RP-05 (subcategories/RC%20RP-05%20364de7cda7a781499b71e6316c50f4a6.csv), RC.RP-06 (subcategories/RC%20RP-06%20364de7cda7a78117bb3dd9849b6e077e.csv), RC.CO-03 (subcategories/RC%20CO-03%20364de7cda7a7810b964dc1d6c4629466.csv), RC.CO-04 (subcategories/RC%20CO-04%20364de7cda7a7810da114e396223b5194.csv)"
