ID,Name,Description,Actual Score,Target Score,categories,subcategories
DE,DETECT,Possible cybersecurity attacks and compromises are found and analyzed,2.666666666666667,3.166666666666667,"Adverse Event Analysis (categories/Adverse%20Event%20Analysis%205888a7f41d04d310c9d55775cbbcbb42.csv), Continuous Monitoring (categories/Continuous%20Monitoring%2049cc6558ba5ec39fc9dba72f0c4795b6.csv)","DE.AE-02 (subcategories/DE%20AE-02%20af5383d762a433c7b4166c0f3bbdacd1.csv), DE.AE-06 (subcategories/DE%20AE-06%20cac879ed6686d787c88b6f51b124fd93.csv), DE.CM-01 (subcategories/DE%20CM-01%201904df802c5a7b767233f66889cad728.csv), DE.AE-03 (subcategories/DE%20AE-03%20c691dc60538e2a366a9c5a2d0a9ef69e.csv), DE.CM-03 (subcategories/DE%20CM-03%20e8a1583864a3ef698d3ae7dbcaa714c0.csv), DE.CM-09 (subcategories/DE%20CM-09%20014f6f76a6a4203e55a6a852c5d629ac.csv), DE.AE-08 (subcategories/DE%20AE-08%2069ff4ddcff860bb79e031bad437711e8.csv), DE.AE-04 (subcategories/DE%20AE-04%20bc36af4080242f837ba2eb1694426024.csv), DE.AE-07 (subcategories/DE%20AE-07%2040c4872980406639bd488edc7b06ae78.csv), DE.CM-02 (subcategories/DE%20CM-02%207baae7750978066ef09218dbc4b3e827.csv), DE.CM-06 (subcategories/DE%20CM-06%2065d54a6672bda1c4d479fcb665a4f2cd.csv)"
GV,GOVERN,"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",2.024206349206349,1.6468253968253965,"Cybersecurity Supply Chain Risk Management (categories/Cybersecurity%20Supply%20Chain%20Risk%20Management%20ad778272d847f2cd436d6d146af0bf96.csv), Organizational Context (categories/Organizational%20Context%2065a2d778da17a625edcd642ec86d5de4.csv), Roles, Responsibilities, and Authorities (categories/Roles,%20Responsibilities,%20and%20Authorities%20ce7743083054c1676c1473a437b85229.csv), Oversight (categories/Oversight%20da8ff49843bdb99b7341ff10b803bf48.csv), Risk Management Strategy (categories/Risk%20Management%20Strategy%20361ac372924df4a0946f041fee7464f6.csv), Policy (categories/Policy%2048e79404fc984ac0f4bf665d55943ef2.csv)","GV.SC-04 (subcategories/GV%20SC-04%207091be72aae3c7f93978a866a605f544.csv), GV.OC-01 (subcategories/GV%20OC-01%2038324c9b2a1d6a2189ed6fabc3b29e6b.csv), GV.RR-02 (subcategories/GV%20RR-02%20d7d948b3de1a65c6c7accd8fd8f3833e.csv), GV.OC-02 (subcategories/GV%20OC-02%2027589a1c3ee61d5abacf3c54955a287f.csv), GV.OV-01 (subcategories/GV%20OV-01%20f431010915fdac6ce0692077582533da.csv), GV.RM-01 (subcategories/GV%20RM-01%20512c336ccc8cc85027b43a4e601fb037.csv), GV.RR-01 (subcategories/GV%20RR-01%209841da9fb801980eaa8f60eac09c90d3.csv), GV.SC-01 (subcategories/GV%20SC-01%20bfe8b74c0939c628882ee91faaaf6c56.csv), GV.SC-02 (subcategories/GV%20SC-02%20ebe40b87d702abde234ee9c22f33e353.csv), GV.SC-06 (subcategories/GV%20SC-06%20e1c1532f740b68250b81e15c6858ee30.csv), GV.SC-10 (subcategories/GV%20SC-10%2006c89bc28a0902a4fd8aaf13a43fd69e.csv), GV.SC-09 (subcategories/GV%20SC-09%20cf4ae135ebbd0ddbf4d0b688d1d09dcb.csv), GV.OC-03 (subcategories/GV%20OC-03%20a5b67b62dbd7570128cc8268dcc2fda1.csv), GV.OC-04 (subcategories/GV%20OC-04%20665a6f2de0215fce0f964de85190969c.csv), GV.OC-05 (subcategories/GV%20OC-05%20dba87131fc2cf3c35215d1b18b7c1577.csv), GV.OV-02 (subcategories/GV%20OV-02%201b846eced3e133fa1b4afc044536fdd3.csv), GV.OV-03 (subcategories/GV%20OV-03%203647cb2fecddb695c4a93a02d1eb7d5b.csv), GV.PO-01 (subcategories/GV%20PO-01%209c4aea8044e09afc945c765f24a35d89.csv), GV.PO-02 (subcategories/GV%20PO-02%202d9f8bfc632b7e32cf6b4170ce32f9cd.csv), GV.RM-02 (subcategories/GV%20RM-02%2096b96d6154273ac1b124af8e9f517c3c.csv), GV.RM-03 (subcategories/GV%20RM-03%2013e4ff6b6210974897e702f5fb7d2564.csv), GV.RM-04 (subcategories/GV%20RM-04%20b4864581650733903c4a33a1da5d0978.csv), GV.RM-05 (subcategories/GV%20RM-05%2052654e8afd07bebb7b9a5ef4663943df.csv), GV.RM-06 (subcategories/GV%20RM-06%20f376f94d62611fce1b67981a111b4cea.csv), GV.RM-07 (subcategories/GV%20RM-07%20a11e7144d656eed5318d63b8594066f4.csv), GV.RR-03 (subcategories/GV%20RR-03%205568d55dc462ca8416ead4c3e940ebda.csv), GV.RR-04 (subcategories/GV%20RR-04%20daeab70cb6e7ae5656357504ecfbbd2c.csv), GV.SC-03 (subcategories/GV%20SC-03%2041a9707b442a66607fdb0e5372c5b5cb.csv), GV.SC-05 (subcategories/GV%20SC-05%206717e4ee9d7147105dca4e53854418b2.csv), GV.SC-07 (subcategories/GV%20SC-07%201c954c667f5b63641c197451c195e470.csv), GV.SC-08 (subcategories/GV%20SC-08%20dc52b2f0ac3e75a95f8fe3360e5256a2.csv)"
ID,IDENTIFY,The organization's current cybersecurity risks are understood,1.0023809523809524,1.392857142857143,"Risk Assessment (categories/Risk%20Assessment%20d13c30999165f054522c5a8e4079d297.csv), Asset Management (categories/Asset%20Management%2070b3428272e5456f7065a56a0aca6007.csv), Improvement (categories/Improvement%2072eff466922c638c29808978bea03382.csv)","ID.RA-07 (subcategories/ID%20RA-07%2000540763b2469343129087b5372bf04b.csv), ID.RA-01 (subcategories/ID%20RA-01%2091daae808fb6bf553fa878d7c9268a66.csv), ID.AM-02 (subcategories/ID%20AM-02%2031c891d0d7a351177ebe5186be8d68ba.csv), ID.AM-07 (subcategories/ID%20AM-07%2073b1bca850e35c29151802797db9dee3.csv), ID.IM-01 (subcategories/ID%20IM-01%209d834b3345dcd397c159d12c004d5f05.csv), ID.RA-08 (subcategories/ID%20RA-08%20c8b44ef8c924c698ba60100ad291cbcc.csv), ID.AM-01 (subcategories/ID%20AM-01%202924f4951c8303447e9d0ab81f46c8ca.csv), ID.AM-03 (subcategories/ID%20AM-03%20a5b8b4a4592545d415f0244b7662f178.csv), ID.AM-04 (subcategories/ID%20AM-04%20cc049a2e03b8e6e88a40506d466dc6fe.csv), ID.AM-05 (subcategories/ID%20AM-05%208f7e5ed961aba14b698b5f0706fb6d24.csv), ID.AM-08 (subcategories/ID%20AM-08%201f614c3fd301914d977700fad1248be4.csv), ID.IM-02 (subcategories/ID%20IM-02%20552f3db807d8e954afd9ced4d1f11540.csv), ID.IM-03 (subcategories/ID%20IM-03%20647af6b1ed2af4374b102346a43c8e05.csv), ID.IM-04 (subcategories/ID%20IM-04%203546a9091c52ccc64832f364ccd32bfe.csv), ID.RA-02 (subcategories/ID%20RA-02%2068254aa8d468c7acfe67fd72f562ecc8.csv), ID.RA-03 (subcategories/ID%20RA-03%20aa71689b2a094444c0ff7753f8037287.csv), ID.RA-04 (subcategories/ID%20RA-04%206e5033d40c8f3db38bf3baa0a5ae008a.csv), ID.RA-05 (subcategories/ID%20RA-05%20471d88135ac5b130234c5b8818e8b5b0.csv), ID.RA-06 (subcategories/ID%20RA-06%2001ab1cd822f8180f259fd5c5e589cf0a.csv), ID.RA-09 (subcategories/ID%20RA-09%20c7acf265e65d57bf00a87a4b7aa1b1b1.csv), ID.RA-10 (subcategories/ID%20RA-10%2075359a02670b073f67990522856320b7.csv)"
PR,PROTECT,Safeguards to manage the organization's cybersecurity risks are used,2.25,2,"Awareness and Training (categories/Awareness%20and%20Training%20dfd77563a114d387cf15ed335fe98b87.csv), Technology Infrastructure Resilience (categories/Technology%20Infrastructure%20Resilience%200e62fa0f04eb448e0e020c734114fb91.csv), Data Security (categories/Data%20Security%2014d87fec1f38601f637ac315794d6847.csv), Platform Security (categories/Platform%20Security%205c3206ad812f45f8eab3d483c1f6ad36.csv), Identity Management, Authentication, and Access Control (categories/Identity%20Management,%20Authentication,%20and%20Access%20Co%206112f77a070b03b7d33aa4cd50902c11.csv)","PR.AT-01 (subcategories/PR%20AT-01%20b2266d22e05788fbe0be03cd1dab7f4e.csv), PR.IR-02 (subcategories/PR%20IR-02%20424073462a9fdf424369403e7531fc91.csv), PR.DS-01 (subcategories/PR%20DS-01%2082f8d4a003e6c744f0f87b282acea7cb.csv), PR.IR-03 (subcategories/PR%20IR-03%209209667d4d797bdfab33914d69dbe625.csv), PR.PS-01 (subcategories/PR%20PS-01%20887fa02319c01ead80e50f79d66be0fd.csv), PR.PS-05 (subcategories/PR%20PS-05%20f2b1d3d3724527fba1488a027b8344bf.csv), PR.AA-02 (subcategories/PR%20AA-02%20eec0e5d7732fcf7ac1bc8ad1117d0d4e.csv), PR.DS-10 (subcategories/PR%20DS-10%20c70670bf3e90ce979b99692e053d0cde.csv), PR.AA-01 (subcategories/PR%20AA-01%20eb02dcbe817712f700025c1e66664698.csv), PR.AA-03 (subcategories/PR%20AA-03%2054a9cf99b819ef41ff4a655a6acc488a.csv), PR.AA-04 (subcategories/PR%20AA-04%20b65bbe38a18166ee304e787787d6ad5c.csv), PR.AA-05 (subcategories/PR%20AA-05%200cde5b6e1ff4ca2511f538dae2775ee1.csv), PR.AA-06 (subcategories/PR%20AA-06%20241e7aace9e97226de05319f7ec08f7b.csv), PR.AT-02 (subcategories/PR%20AT-02%2057221b76a736e652ff47c87e73ab04ce.csv), PR.DS-02 (subcategories/PR%20DS-02%20338a9d19ee98af653b5f7b3d1af08079.csv), PR.DS-11 (subcategories/PR%20DS-11%208b857857c3101f2050c4df86fa82ab7b.csv), PR.IR-01 (subcategories/PR%20IR-01%2074a5209fd2477aef6e28ff8e56634653.csv), PR.IR-04 (subcategories/PR%20IR-04%2045d482ce5590f4b44bd97e003646a4a7.csv), PR.PS-02 (subcategories/PR%20PS-02%202f77497d976a2610c8fff9c3009e70b0.csv), PR.PS-03 (subcategories/PR%20PS-03%200f5c5a65d937d4298316e562a67d8a02.csv), PR.PS-04 (subcategories/PR%20PS-04%2003775c3ac3bbc9caf43ea6337493f179.csv), PR.PS-06 (subcategories/PR%20PS-06%2070b77465677d942847c8205306851f57.csv)"
RC,RECOVER,Assets and operations affected by a cybersecurity incident are restored,0.4583333333333333,0.4166666666666667,"Incident Recovery Plan Execution (categories/Incident%20Recovery%20Plan%20Execution%200f1b57d5df37f3397c8e8dd3946dbb4b.csv), Incident Recovery Communication (categories/Incident%20Recovery%20Communication%207feacfe57b482060de021de543278ce8.csv)","RC.RP-03 (subcategories/RC%20RP-03%2075b98e6a71b242497e892bc109bf4f11.csv), RC.CO-03 (subcategories/RC%20CO-03%20fb2f298f4044cc768e2e55c3a0e36b6c.csv), RC.CO-04 (subcategories/RC%20CO-04%2009cbc3094192f87017a8861b9894d4a8.csv), RC.RP-01 (subcategories/RC%20RP-01%20d32592a5907b893099fe68e9844bcd85.csv), RC.RP-02 (subcategories/RC%20RP-02%20783d220cd373572f61755450e05d7abb.csv), RC.RP-04 (subcategories/RC%20RP-04%20eaea933178276a73f865c1cae7f8cedf.csv), RC.RP-05 (subcategories/RC%20RP-05%20fc45785707368f569954fd83cb4627da.csv), RC.RP-06 (subcategories/RC%20RP-06%209d67b36f66ea5bbaf408e5ed43b01bab.csv)"
RS,RESPOND,Actions regarding a detected cybersecurity incident are taken,1.275,1.5,"Incident Mitigation (categories/Incident%20Mitigation%20e0635cef469e276260ef5d1f0252ab34.csv), Incident Management (categories/Incident%20Management%20363b1f68cd7b2e7be7c1c7d708b23d44.csv), Incident Analysis (categories/Incident%20Analysis%20f4cdb92cfb1bffee1e7c9446c0b46618.csv), Incident Response Reporting and Communication (categories/Incident%20Response%20Reporting%20and%20Communication%207661ced024ff48044587fdbb89dcc61c.csv)","RS.MI-02 (subcategories/RS%20MI-02%20d6ba68adb360cf3c62b00dd9166a1cc1.csv), RS.MI-01 (subcategories/RS%20MI-01%2025d8c793f4d22558a436e41edb3c1160.csv), RS.MA-03 (subcategories/RS%20MA-03%2093c197edfbe8bce77aafa2fa9383a41e.csv), RS.AN-03 (subcategories/RS%20AN-03%20f3b0cda474e720f1ec1b885569f20675.csv), RS.AN-06 (subcategories/RS%20AN-06%209cef3643c0504b6770b91b33807b552b.csv), RS.AN-07 (subcategories/RS%20AN-07%203a3fe743308302e73ae2f15c5730b22a.csv), RS.AN-08 (subcategories/RS%20AN-08%2079a0cda5a96ef630d0c091806335e8c3.csv), RS.CO-02 (subcategories/RS%20CO-02%205d7f5486d30f0ff255e74c7b47822b3f.csv), RS.CO-03 (subcategories/RS%20CO-03%20df9e112a7a54c89f7e41b96eb4b41750.csv), RS.MA-01 (subcategories/RS%20MA-01%204721fc75d4f2c0a091c95efe0be849c0.csv), RS.MA-02 (subcategories/RS%20MA-02%20c4b381cbded6526e3696e626bf660607.csv), RS.MA-04 (subcategories/RS%20MA-04%20c3fd416f3cdbf6cf1623736836c18f89.csv), RS.MA-05 (subcategories/RS%20MA-05%20b5d40872875d36238d772382ec65f72e.csv)"
